artist,album,num_tracks,album_length,release_date,listeners,scrobbles,tags,tracks
Lama,Мені Так Треба,12.0,,3 June 2018,"5,718","75,615","['pop rock', 'ukraine', 'ukrainian', 'ukrainian pop', 'punk', 'ukrainian', 'hardcore punk']","['Інтро', 'Літак', 'З тим (кого любила)', 'Мені Так Треба', 'Моє Серце', 'не сліди', 'Обман', 'Тіло тремтить', 'Між зорями', 'Сон', 'Білі вогні', 'Мені так треба 2006']"
Lama,Назавжди,12.0,43:25,15 October 2013,913,"14,491","['ukrainian', 'pop', 'punk', 'hardcore punk', 'finnish punk', 'punk', 'ukrainian', 'hardcore punk']","['Лиш тільки ти', 'Той вогонь', 'Ангел', 'Любов', 'Нехай все буде так, як є', 'Фани', 'Де нема неправди', ""Rock 'n' Roll"", 'Не підведи', 'Пробач', 'Тримай', 'Жовте поле']"
Lama,Світло і тінь,11.0,38:53,14 May 2008,"4,363","91,304","['ukrainian', 'synthpop', 'pop rock', 'ukraine', 'ukrainian pop', 'punk', 'ukrainian', 'hardcore punk']","['Intro', 'Світло і тінь', 'Я не та', 'Знаєш, як болить', 'Тобі одному', 'Не мама', 'Його нема', 'В океані', 'А ти співай', 'Світ мрій', 'З джерела']"
Lama,Тримай,14.0,,2010,506,"17,259","['ukrainian', 'ukraine', 'female vocalists', 'pop', 'russian', 'punk', 'ukrainian', 'hardcore punk']","['Тримай', 'Моє серце', 'Літак', 'Знаєш як болить', 'Мені так треба', 'З тим (кого любила)', 'Обман', 'Тіло тремтить', 'Між зорями', 'Сон', 'Білі вогні', 'З джерела', 'Світло і тінь', 'Жовте поле']"
Mad Heads XL,Forever,14.0,52:16,1 January 2008,"2,543","70,083","['ukrainian', 'positive', 'ska', 'pop-rock', 'reggae', 'ska', 'ukrainian', 'reggae']","['Forever', 'Буває', 'Зірки знають', 'ScreenКА', 'Пробки', 'А я на морі', 'Наступна зупинка Голлівуд', 'Шлях до неба', 'Дощ', 'Чи те того варте?', 'Найкраща мить', 'Добре', 'Амнезія', 'Зброя і квіти']"
Mad Heads XL,Nadiya Yea,14.0,51:06,2005,219,"7,188","['2005', 'ska', 'ska punk', 'gypsy', 'ukrainian', 'ska', 'ukrainian', 'reggae']","['Smereka', 'DUBKY', 'Pisnya Svitla', 'TSYGANY', 'Groshi', 'Richenka', 'Speka Zymova', ""Gangster's Days"", ""Don't Worry"", 'NADIYA YEA (English version)', 'Autobus Buratin', 'Younger', 'Radio Babylon', 'Nadiya Yea (remix)']"
Mad Heads XL,Надія Є (Спеціальне Новорічне Видання),16.0,,2006,1,1,"['ukrainian', 'ska', 'covers', 'reggae', 'ska punk', 'ska', 'ukrainian', 'reggae']","['Смерека', 'Надія є', 'Дубки', 'Пісня світла', 'Цигани feat. (Фома)', 'Гроші', 'Річенька', ""Gangster's Days"", ""Don't Worry"", 'Nadiya Yea', 'Автобус буратін', 'Younger', 'Радіо вавілон', 'Надія Є (remix)', 'Jingle Bells', 'Ялинонька']"
Mad Heads XL,Надія є,15.0,,1 January 2005,"1,984","32,612","['ukrainian', 'ska', 'covers', 'reggae', 'ska punk', 'ska', 'ukrainian', 'reggae']","['Смерека', 'Надія є', 'Дубки', 'Пісня світла', 'Цигани', 'Гроші', 'Річенька', 'Спека зимова', ""Gangster's Days"", ""Don't Worry"", 'Nadiya Yea', 'Автобус буратін', 'Younger', 'Радіо вавілон', 'Надія Є (remix)']"
Mad Heads XL,УкраїнSKA,19.0,65:37,May 2011,807,"25,082","['ukrainian', 'ska', 'ukrainian rock', 'feel good', 'punk rock', 'ska', 'ukrainian', 'reggae']","['Здибанка (інтро)', 'Вірно любила', 'Чорні очка', 'Ой, мамо, люблю гриця', 'Вітер віє', 'Ішов козак потайком', 'Горілочка', 'Горіла сосна', 'Несе Галя воду', 'Тому коса добре косить', 'В вишневім садочку', 'Ой ходила дівчина бережком', 'Тече вода', 'Кришталеві чаші', 'Верховина', 'Смерека', 'Дубки', 'Річенька', 'Цигани']"
O.Torvald,Diller Kaifu I,8.0,28:45,18 October 2019,"1,130","19,443","['ukrainian', 'pop-punk', 'alternative rock', 'pop punk', 'alternative', 'ukrainian', 'pop-punk', 'alternative rock']","['Ненавиджу Вас Всіх', 'Бийся', 'Парад Брехні і Маячні', 'Мій Герой', 'Два Нуль Один Вісім', 'Назовні', 'Шкідлива Звичка', 'Пиши Моє Ім`я']"
O.Torvald,Diller Kaifu II,8.0,26:28,18 October 2019,996,"14,098","['ukrainian', 'pop-punk', 'alternative rock', 'pop punk', 'alternative', 'ukrainian', 'pop-punk', 'alternative rock']","['Diller Kaifu', 'Donald Trump', 'Зламані', 'Десь не тут', 'Чувства (Cover Version)', 'Роздягни мене (feat. Yulia Yurina)', 'Не Спи (feat. Tapolsky & VovKING)', 'Осень cосёт']"
O.Torvald,Greatest Hits,10.0,36:45,10 May 2017,"1,926","14,527","['eurovision song contest', 'ukraine', 'esc', 'eurovision', 'pop-punk', 'ukrainian', 'pop-punk', 'alternative rock']","['Все з початку', '#нашілюдивсюди', 'Вирвана', 'Твой дух – твое оружие', 'Ти Є', 'На дні', 'Сніг', 'Крик', 'Time', 'Знаки']"
O.Torvald,O.Torvald,11.0,33:48,15 April 2008,"2,646","83,712","['pop punk', 'ukrainian', 'alternative', 'pop-punk', 'alternative rock', 'ukrainian', 'pop-punk', 'alternative rock']","['Тіло', 'Телефон', 'Не залишай', 'Ані Лорак', 'Забити', 'Стій', 'хочу fuck', 'Київ-лондон', 'Моє твоє', 'Intro (atmospheric)', 'Мама (Bonus track)']"
