title,artist,title_listeners,title_scrobbles,title_tags,title_duration
Рано-раненько - Радіо Версія,Go_A,"1,608","4,714","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
Вогні,Go_A,"1,284","4,013","['folktronica', 'ukrainian', 'folk', 'electronic', '4-5', 'ukrainian', 'folktronica', 'folk']",4:38
Жальменіна (jon joy remix),Go_A,"1,094","2,887","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",2:21
SHUM - Ukraine 🇺🇦 - Official Music Video - Eurovision 2021,Go_A,"1,084","3,733","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
Dumala (Speed Up version),Go_A,"1,004","4,597","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",2:55
Shum - LIVE - Ukraine 🇺🇦 - Grand Final - Eurovision 2021,Go_A,892,"1,895","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
Жальменіна,Go_A,682,"4,915","['folktronica', 'ukrainian', 'folk', 'electronic', '4-5', 'ukrainian', 'folktronica', 'folk']",3:49
Krip - Instrumental,Go_A,624,"1,557","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
Vesnjanka,Go_A,612,"1,798","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
Намалюй,Go_A,512,"2,676","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
Shum - LIVE - Ukraine 🇺🇦 - First Semi-Final - Eurovision 2021,Go_A,503,"1,126","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
SHUM - Eurovision 2021 - Ukraine / Karaoke Version,Go_A,485,"1,488","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
Щедрий вечір,Go_A,442,"1,281","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
Dancing Lasha Tumbai (Verka Serduchka cover),Go_A,430,"1,217","['cover', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
Solovey - Ukraine 🇺🇦 - Official Video - Eurovision 2020,Go_A,397,916,"['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
Іди на звук,Go_A,354,"1,378","['folktronica', 'ukrainian', 'folk', 'electronic', '4-5', 'ukrainian', 'folktronica', 'folk']",4:55
Шум (Radio Edit),Go_A,335,"2,101","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",3:02
SHUM - Eurovision 2021 - Ukraine,Go_A,251,598,"['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
Соловей (Eurovision 2020),Go_A,244,"1,040","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
SHUM (Украина на «Евровидении-2021»),Go_A,220,"1,478","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
