artist,artist_listeners,artist_scrobbles,artist_tags
national radio,"11,156","224,936","['russian', 'russia', 'ukraine', 'anthem', 'ukrainian', 'war', 'historical', 'bosnian', 'turbofolk', 'hymn', 'war songs', 'based', 'poland', 'polish']"
PROBASS ∆ HARDI,"20,926","219,525","['ukrainian', 'edm', 'ukraine', 'electronic', 'folktronica', 'dance', 'club']"
Lely45,"15,221","210,996","['ukrainian', 'pop', 'ukraine', 'rock']"
Плач Єремії,"17,246","378,951","['ukrainian', 'rock', 'ukrainian rock', 'poetry', 'alternative']"
Тік,"20,918","349,914","['ukrainian', 'ska', 'folk rock', 'punk', 'ska punk', 'pop-punk']"
Alyosha,"27,662","304,178","['ukrainian', 'rock', 'eurovision', 'pop', 'female vocalists', 'screamo', 'pop-rock']"
DJ Jedy,"14,115","188,688","['house', 'ukraine', 'ukrainian']"
takizava,"5,623","188,691","['rock', 'electronic', 'experimental', 'wave', 'ukrainian', 'trap', 'ragecore', 'torturecore', 'dark trap', 'darktrap']"
Rozhden,"18,092","217,259","['ukrainian', 'soul', 'acoustic', 'lo-fi', 'russian', 'sadcore', 'urban soul']"
QARPA,"15,580","347,906","['ukrainian', 'alternative', 'female vocalists', 'indie', 'ukrainian alternative', 'electronic']"
jockii druce,"10,861","176,853","['ukrainian', 'rap', 'hip hop', 'hip-hop', 'ukrainian rap']"
Миша Марвин,"15,410","201,598","['russian', 'male vocalists', 'dance pop', 'ukrainian', '10s']"
Лилу45,"13,843","186,979","['ukrainian', 'female vocalist', 'female vocalists', 'vocalist', '3', 'ukraine', 'ukrainian female']"
Холодне Сонце,"7,614","336,322","['ukrainian', 'gothic rock', 'love metal', 'gothic', 'gothic love metal', 'gothic metal']"
Марія Чайковська,"19,938","170,450","['ukrainian', 'indie']"
The Ukrainians,"22,202","331,730","['ukrainian', 'folk', 'folk rock', 'folk punk', 'the ukrainians', 'punk', 'british', 'rock', 'winter in the summertime', '90s']"
Ірина Білик,"16,782","309,287","['ukrainian', 'pop', 'female vocalists', 'ukraine', 'russian']"
AKINE,"17,124","181,890","['ukrainian', 'pop', 'indie pop', 'english', '4', 'female vocalists', 'ukraine', 'yandex music']"
Sad Novelist,"10,145","166,962","['post-punk', 'new wave', 'ukrainian', 'indie pop', 'indie rock', 'ukraine', 'ukrainian post-punk']"
Antytila,"9,015","172,463","['alternative rock', 'pop rock', 'ukraine', 'ukrainian', 'rock']"
INGRET,"3,040","164,461","['ukrainian', 'pop', 'voice of the country', 'x-factor', 'electropop', 'indie pop', 'female vocalists', 'ukraine']"
Перкалаба,"18,715","318,923","['ukrainian', 'ska', 'folk', 'ethno-ska', 'folk-punk', 'ua', 'alternative', 'gypsy punk']"
DZIDZIO,"11,246","180,025","['ukrainian', 'folk', 'ukraine', 'rock', 'gop pop', 'songs sarah likes', 'feel good', 'pop', 'synthpop', 'comedy']"
Мотор'ролла,"13,426","246,668","['ukrainian', 'rock', 'pop rock', 'alternative rock', 'ukrainian rock', 'indie', 'pop-rock']"
Khayat,"9,896","167,997","['ukrainian', 'alternative', 'vidbir', 'folk', 'ukraine', 'electronic', 'folktronica', 'eurovision', 'eurovision 2020']"
Howtodie,,,"['ukraine', 'ukrainian']"
Svitlana Nianio,"11,586","158,188","['folk', 'ukrainian', 'singer-songwriter', 'avant-folk', 'experimental', 'avant-garde', 'female   voice']"
Kola,"21,072","152,286","['ukrainian', 'pop', 'ukraine', 'japanese', 'hardcore', 'indie pop', 'japan']"
Руслана,"18,824","262,127","['ukrainian', 'pop', 'folk', 'ethnic pop', 'eurovision song contest', 'female vocalists', 'eurovision', 'ukrainian ethno']"
Жадан і собаки,"5,128","155,657","['ukrainian', 'punk rock', 'ska punk', 'rock']"
Zlata Ognevich,"13,579","187,101","['ukrainian', 'eurovision', 'ukraine', 'pop', 'female vocalists', 'eurovision song contest']"
Ziferblat,,,"['ukrainian', 'art pop', 'pop', 'progressive rock', 'indie pop', 'indie rock', 'indie']"
Mad Heads XL,"11,812","257,366","['ska', 'ukrainian', 'reggae', 'rock', 'ethnic', '2005', 'positive', 'ukrainian rock', 'folk rock', 'ska-punk', 'covers']"
Kalush Orchestra,"17,197","138,659","['ukrainian', 'rap', 'eurovision song contest', 'ukraine', 'pop', 'eurovision', 'esc', 'pop rap']"
Гайдамаки,"6,833","261,923","['ukrainian', 'folk rock', 'folk', 'ska', 'folk-rock', 'rock', 'ukrainian rock']"
Мандри,"16,223","241,113","['ukrainian', 'folk', 'folk-rock', 'rock', 'ukrainian rock', 'folk rock', 'ukraine']"
Анастасия Приходько,"20,353","249,985","['ukrainian', 'pop', 'russian', 'female vocalists', 'eurovision', 'russia', 'rock', 'folk']"
Брюссель,"9,862","240,865","['ukrainian', 'rock', 'indie', 'alternative', 'pop-rock', 'ukraine', 'babkin', 'ukrainian rock', 'okean elzy']"
Фіолет,"7,055","189,028","['rock', 'ukrainian', 'indie', 'indie rock', 'ukrainian rock']"
Піккардійська Терція,"10,221","217,476","['ukrainian', 'a cappella', 'folk', 'acapella']"
BLOOMS CORDA,"7,465","134,029","['funk', 'ukrainian', 'lounge', 'pop', 'indie pop', 'ukranian', 'ukraine', 'sophisti-pop']"
Ницо Потворно,"3,871","126,221","['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'underground hip hop', 'ukraine']"
Фактично Самі,"8,390","258,909","['ukrainian', 'alternative', 'female vocalists', 'experimental', 'trip-hop', 'alternative rock', 'ukrainian alternative']"
YAKTAK,"7,870","124,687","['ukrainian', 'folk', 'ukraine', 'pop', 'my top songs', 'vidbir 2024 long-list']"
SobaKKa,"7,091","128,052","['garage rock', 'hip hop', 'ukrainian', 'slidan', 'experimental ukrainian hip-hop']"
KRUTЬ,"7,899","126,050","['ukrainian', 'soul', 'ukraine', 'indie pop', 'pop', 'folk pop']"
Вій,"6,270","182,244","['ukrainian', 'dark folk', 'folk rock', 'folk', 'gothic', 'gothic rock', 'rock']"
TAYANNA,,,"['ukrainian', 'pop', 'eurovision', 'tayanna', 'ukraine', 'female vocalists', 'officially shit', 'female vocalist', '2017 single', 'russian pop', 'fairy tale and fantasy vibes', 'best of preselection', 'jamala', 'ukrainian female vocalists', 'ukrainian pop', 'vidbir']"
Ariadna,"10,090","121,365","['ukrainian', 'pop', 'electronic', 'indie pop', 'disc weekly', 'witch house', 'art pop', 'spanish', 'rnb']"
BaWn,"8,800","116,981","['ukrainian', 'post-punk', 'ukraine', 'indie pop', 'new wave', 'indie rock', 'goth pop']"
renie cares,"7,357","108,219","['electropop', 'ukrainian', 'indie pop', 'indie rock', 'ukraine', 'indie', 'synth pop']"
Оля Полякова,"9,251","136,305","['pop', 'ukrainian', 'dance', 'ukraine', 'please play this track', 'russian']"
Обійми Дощу,"6,863","198,188","['progressive rock', 'depressive rock', 'ukrainian', 'melancholic rock', 'melancholic', 'doom metal', 'neofolk']"
Мері,"9,430","150,279","['ukrainian', 'ukrainian rock', 'rock', 'pop-rock', 'opti-rock', 'pop rock']"
Лінія Маннергейма,"3,457","108,899","['electronic', 'experimental', 'trip-hop', 'ukrainian', 'spoken word', 'post-rock', 'ukraine']"
OTOY,"4,188","106,475","['rap', 'hip hop', 'ukraine', 'ukrainian']"
Vagonovozhatye,"7,095","108,946","['ukrainian', 'electronic', 'spoken word', 'experimental', 'ukrainian indie', 'ukrainian experimental', 'idm']"
Арсен Мірзоян,"6,806","140,366","['ukrainian', 'rock', 'singer-songwriter', 'ukrainian rock']"
Txpa,,,"['cute', 'female vocalists', 'austria', 'ukrainian', '2', 'booba']"
D4C,"23,278","101,242",[]
-deTach-,"9,856","287,887","['nu metal', 'alternative metal', 'alternative', 'ukrainian', 'nu-metal', 'ukraine', 'rapcore']"
Zapaska,"6,632","147,030","['ukrainian', 'indie pop', 'indie', 'folk', 'minimal', 'experimental', 'ukraine']"
Михаил Бублик,"6,781","113,027","['pop', 'russian', 'chanson', 'pop-rock', 'russia', 'ukraine', 'ukrainian', 'soviet']"
Siuzanna,"8,415","102,913","['pop', 'alternative', 'indie pop', 'experimental', 'ukraine', 'ukrainian', 'russian language', 'should i go to a live concert']"
Cepasa,"13,506","115,676","['house', 'electronic', 'downtempo', 'ukrainian', 'dance', 'electronica', 'beats', 'deep house']"
Алёна Винницкая,"10,120","193,196","['ukrainian', 'pop', 'female vocalists', 'rock', 'soft rock', 'ukraine', 'pop-rock', 'russian']"
Vasily Richter,"3,700","93,881","['ukrainian', 'garage rock', 'ukraine', 'psychedelic rock', 'garage punk', 'surf', 'psychedelic']"
анастимоза,"7,675","99,616","['ukrainian', 'indie pop', 'ukraine', 'ukranian', 'electronic', 'synth pop', 'art pop']"
MARUV & Boosin,"11,399","113,114","['ukrainian', 'ukrainian pop', 'club', 'party', '2017 single', 'playlista rmf fm']"
TNMK,"6,642","105,841","['ukrainian', 'hip hop', 'reggae', 'rap', 'bands', 'pop rap']"
MamaRika,"6,723","95,625","['pop', 'ukrainian', 'ukraine', 'soul', 'female vocalists', 'eurovision', 'ukrainian pop']"
Маша Кондратенко,"7,218","89,113","['ukrainian', 'pop', 'electropop', 'booba', 'ukrainian pop', 'bayracore']"
vioria,"3,023","90,323","['indie pop', 'pop rock', 'ukrainian', 'indie rock', 'ukraine', 'bedroom pop', 'spotify']"
Олександр Пономарьов,"10,412","133,814","['ukrainian', 'pop', 'male vocalists', 'ukraine', 'singer-songwriter', 'eurovision']"
Tik,"10,618","131,899","['ukrainian', 'folk', 'folk rock', 'ska', 'tik']"
Сусіди Стерплять,"3,233","83,388","['indie rock', 'lo-fi', 'ukrainian']"
Гурт [О],"6,723","95,211","['ukrainian', 'pop', 'electropop', 'indie pop', 'female vocalists', 'future pop', '2']"
Апатія,"4,597","88,291","['ukrainian', 'emo', 'alternative rock', 'ukranian', 'garage rock', 'garage punk', 'alternative']"
Скажи щось погане,"4,715","82,593","['psychedelic rock', 'ukrainian', 'indie pop', 'new wave', 'indie rock', 'lo-fi', 'art rock', 'ukraine', 'punk', 'alternative rock']"
Люсі,"4,640","90,689","['ukrainian', 'synthpop', 'electropop', 'pop', 'ukraine', 'electronic', 'indie pop']"
Без Обмежень,"5,315","95,218","['ukrainian', 'rock', 'rap', 'ukrainian rap']"
Ігор Кайдаш,"5,618","79,910","['indie pop', 'indie rock', 'ukrainian', 'lo-fi', 'ukraine']"
The Feels,"10,162","80,444","['indie', 'rock', 'band', 'power pop', 'ukrainian', 'garage rock', 'alternative rock']"
ETOLUBOV,"8,493","81,037","['yandex music', 'upcoming album 2023', 'female vocalist', 'pop', 'singer-songwriter', 'alternative', 'female vocalists', 'ukraine', 'ukrainian', 'russian pop']"
drwncvnt,"19,590","79,896","['electronic', 'experimental', 'ukrainian']"
Godo,"6,983","82,125","['drum', 'bonzaiprogressive', 'mint and mustard', 'psychedelic', 'argentina', 'electronic', 'electro']"
Тонка,"6,452","78,645","['electropop', 'indie pop', 'idm', 'ukrainian', '3', 'techno', 'ukraine', 'electropo']"
Grandma's smuzi,"8,037","75,910","['ukrainian', 'rock', 'heavy metal', 'cover', 'ukraine']"
Табула Раса,"6,548","132,873","['ukrainian', 'new wave', 'pop-rock', 'indie', 'soft rock', 'post-punk', 'rock']"
Folknery,"7,121","81,793","['ethnic', 'folk', 'ukrainian', 'world', 'world music', 'authentic', 'ukranian']"
5’nizza,"7,989","100,345","['reggae', 'ukranian', 'ukraine', 'ukrainian', 'russian reggae', 'explicit lyrics', 'parental advisory']"
BohoMan,"20,024","77,073",[]
Гайтана,"12,028","131,185","['ukrainian', 'pop', 'ukraine', 'female vocalists', 'russian']"
Олег Кензов,"11,476","83,792","['hip-hop', 'ukrainian', 'ukraine', 'male vocalists', 'xfactor', 'x-factor']"
Колос,"8,464","80,034","['ukrainian', 'rock', 'acoustic', 'noise', 'russian', '00s', 'pop']"
Мур,"2,560","74,715","['ukrainian', 'ukraine', 'hip-hop', 'trip-hop', 'ukrainian rock', 'ukrainian indie']"
badactress,"3,903","73,407","['ukrainian', 'pop', 'art pop', 'electropop']"
Тарас Чубай,"7,718","91,736","['ukrainian', 'ukraine', 'rock', 'ukrainian rock', 'folk']"
Наталья Могилевская,"13,925","120,391","['ukrainian', 'pop', 'female vocalists', 'ukraine', 'ukrainian pop', 'lovely']"
ZeFear,"6,892","72,626","['indietronica', 'electropop', 'synthpop', 'ukraine', 'ukraina', 'ukrainske']"
Parfeniuk,"5,727","72,858","['pop', 'ukrainian', 'rnb', 'ukrainian pop', 'esc national selection 2024']"
Серцевий Напад,"7,717","140,438","['punk', 'ukrainian', 'punk rock', 'pop punk', 'ukrainian punk', 'rock', 'punk-rock']"
CHEEV,"3,950","71,082","['ukrainian', 'belarus', 'ukraine', 'pop', 'belarusian']"
раёк,"5,335","71,231","['ukrainian', 'electronic', 'indie pop', 'electropop', 'synth pop', 'female vocalists', 'russian']"
100лиця,"5,108","69,577","['ukraine', 'ukrainian', 'my top songs']"
Таисия Повалий,"11,710","101,000","['pop', 'ukrainian', 'ukraine', 'estrada', 'tv-starua', 'sng-star', 'ex ussr star']"
Singleton,"14,380","101,140","['indie rock', 'ukrainian', 'indie', 'rock', 'female vocalists', '6 of 10 stars', 'britpop', 'alternative']"
Kulakostas,,,"['idm', 'experimental', 'beats', 'instrumental hip-hop', 'uk garage', 'ukraine', 'ukrainian', 'future garage', 'chillout', 'electronic', 'celebration']"
Sudno,"4,840","70,050","['post-punk', 'ukrainian', 'new wave', 'indie rock']"
Gaitana,"11,086","90,687","['pop', 'ukrainian', 'eurovision', 'female vocalists', 'ukraine', 'dance', 'eurovision song contest', 'eurovision 2012']"
Орест Лютий,"4,492","82,936","['ukrainian', 'comedy', 'parody', 'neofolk']"
Марний,"4,488","67,588","['grunge', 'ukrainian', 'post-grunge', 'indie rock', 'garage rock', 'indie', 'alternative']"
Лівінстон,"4,444","66,214","['ukrainian', 'acoustic', 'indie pop', 'ukraine', 'indie', 'melancholic']"
Юркеш,"7,633","126,156","['ukrainian', 'folk rock', 'rock', 'alternative', 'ukrainian rock', 'ua', 'comedy']"
Potap & Nastya,"6,378","72,658","['ukrainian', 'popsa', 'po-russki', 'english club', '2010s', '2009', '2000s']"
GXNRC,"14,133","68,194",[]
Bad,"15,733","77,192","['funk', 'metal', 'pop', 'hardcore punk', 'ukrainian', 'soul', 'hardcore', 'dance', 'progressive metal', 'thrash metal', 'electronic']"
Виталий Чирва,"6,514","64,776","['pop', 'ukraine', 'ukrainian', 'male vocalists']"
Нумер 482,"6,963","94,210","['ukrainian', 'rock', 'alternative', 'ukrainian rock', 'alternative rock', 'pop rock', 'ukrainian alternative']"
Лея,"4,729","63,456","['ukrainian', 'folk rock', 'folk', 'indie pop', 'indie folk', 'folk pop', 'ukraine']"
Марія Бурмака,"5,417","106,046","['ukrainian', 'female vocalists', 'ukraine', 'pop-rock', 'pop', 'folk', 'singer-songwriter']"
Катя Chilly,"4,952","119,507","['ukrainian', 'ethnic', 'electronic', 'female vocalists', 'synthpop', 'folk']"
Веремій,"2,365","93,326","['ukrainian', 'folk metal', 'metal', 'folk', 'folk rock', 'ukraine']"
To Eternity,"6,176","59,788","['ukrainian', 'pop', 'indie pop', 'ukranian', 'ukraine']"
Dens,"2,485","66,284","['post-hardcore', 'christian', 'melodic hardcore', 'ukrainian', 'christian hardcore', 'djent']"
TELLY GRAVE,"4,942","66,814","['rap', 'hip-hop', 'russian', 'ukraine', 'ukrainian', 'cloud rap']"
NAZVA,"4,640","60,064","['ukrainian', 'folk', 'folk pop', 'pop', 'ukraine', 'folk rock', 'ukrainian pop']"
Dazzle Dreams,"5,948","109,380","['ukrainian', 'electronic', 'electropop', 'ambient', 'synth pop', 'ethnic', 'synthpop']"
Сергій Жадан Та Собаки В Космосі,"2,111","90,877","['ukrainian', 'punk', 'ska', 'poetry', 'rock', 'ska punk', 'alternative']"
