title,artist,spotify_artist,track_id,artist_id,duration_ms,track_popularity,album_id,album_name,album_release_date,total_tracks
Мужчина та'як я,Брати Гадюкіни,Braty Hadiukiny,5NN8ykNBgdJv3vsa3gGukg,3Yb7JpWRRyTPLttO6AJBHb,215386,7,6RYx3iuA6lxproTmBsjHLI,Ми - хлопці з Бандерштадту,1991-01-01,8
Інтродукція,Брати Гадюкіни,Braty Hadiukiny,0gaI2skLJeEIsnkvhbyAsh,3Yb7JpWRRyTPLttO6AJBHb,108986,5,05eHVcUPFc0N3ZAKnYo89x,"Щасливої дороги (Бай, бай, мила!)",1996-07-09,11
Приїдь до мене у мостиска,Брати Гадюкіни,Braty Hadiukiny,01LE2CapgdC3JioqUlrSjK,3Yb7JpWRRyTPLttO6AJBHb,242026,14,7AFWovaaWclERrRwddyHvk,Всьо чотко!,1989-01-01,12
Халі галі,Брати Гадюкіни,Braty Hadiukiny,2Ktle1i1bRJnooqMpUFQbS,3Yb7JpWRRyTPLttO6AJBHb,219653,7,05eHVcUPFc0N3ZAKnYo89x,"Щасливої дороги (Бай, бай, мила!)",1996-07-09,11
На долинi туман шейк,Брати Гадюкіни,Braty Hadiukiny,6qLMsPSFSUzKNCMR1iWDm1,3Yb7JpWRRyTPLttO6AJBHb,246600,14,7lMxUXwBas3C42zkbaxuFe,Було не любити,2002-01-01,8
Made In Ukraine,Брати Гадюкіни,Braty Hadiukiny,6t3W61KyZOu4fS81tokJ12,3Yb7JpWRRyTPLttO6AJBHb,306902,6,4HQzVOqF3XT4bCJG0m1BaO,about: UKRAINE,2023-07-18,32
Ти кинула,Брати Гадюкіни,Брати Гадюкіни,5GvQVRi36odMZMrlQgqv3M,5peff0U7ooABvmRB2h3ADB,246720,4,1WNlR8ihh64OKF900fx4xn,"Lyapis Crew Трубьют, Vol. 2",2014-08-19,26
Шейк,Брати Гадюкіни,Braty Hadiukiny,6qLMsPSFSUzKNCMR1iWDm1,3Yb7JpWRRyTPLttO6AJBHb,246600,14,7lMxUXwBas3C42zkbaxuFe,Було не любити,2002-01-01,8
Ptaha Fred,The Unsleeping,The Unsleeping,64CLNJgz3xmK7P22wWyNGx,4lkuCrbRHsGwfVR916oqsM,200867,41,2xVOAlgON6irJVncwI84Gu,Ptaha Fred,2020-04-21,1
Припустим,The Unsleeping,The Unsleeping,5VTYLMgsIEyJ3Meh5EOfR8,4lkuCrbRHsGwfVR916oqsM,171587,40,20NRYFeYdKq7DZAR9GsXQv,Припустим,2020-05-26,1
Жити,The Unsleeping,The Unsleeping,2MtQrF12P97C6Qhv6Im5Rs,4lkuCrbRHsGwfVR916oqsM,325147,40,2ZBB2km2jaZEttHOJromZi,Жити,2022-11-25,1
DEDVED,The Unsleeping,The Unsleeping,51xtjVR7JkhvnWB3Q7UZjs,4lkuCrbRHsGwfVR916oqsM,196374,27,42zxwKCmF8AFF32SAtJoCP,DEDVED,2021-11-11,1
Не Сплю,The Unsleeping,The Unsleeping,50bsUS9UAcG81LURChnaOH,4lkuCrbRHsGwfVR916oqsM,204285,37,1Uxtg8vu2j6qMZPCaf73wC,Не Сплю,2023-02-23,1
