artist,album,num_tracks,album_length,release_date,listeners,scrobbles,tags,tracks
Kalush Orchestra,Вогонь горить - Single,1,1:54,8 September 2023,5,101,"['ukrainian', 'rap', 'eurovision song contest', 'ukraine', 'eurovision', 'ukrainian', 'rap', 'eurovision song contest']",['Вогонь горить']
Kalush Orchestra,Вітер виє,1,2:45,"1 track, 2:45",325,"1,309","['ukrainian', 'rap', 'eurovision song contest', 'ukraine', 'eurovision', 'ukrainian', 'rap', 'eurovision song contest']",['Вітер виє']
Kalush Orchestra,Вітер виє - Single,1,2:45,4 April 2024,2,4,"['ukrainian', 'rap', 'eurovision song contest', 'ukraine', 'eurovision', 'ukrainian', 'rap', 'eurovision song contest']",['Вітер виє']
Kalush Orchestra,Рута,1,2:34,"1 track, 2:34",163,520,"['ukrainian', 'rap', 'eurovision song contest', 'ukraine', 'eurovision', 'ukrainian', 'rap', 'eurovision song contest']",['Рута']
Kalush Orchestra,Рута - Single,1,2:34,13 February 2025,2,4,"['ukrainian', 'rap', 'eurovision song contest', 'ukraine', 'eurovision', 'ukrainian', 'rap', 'eurovision song contest']",['Рута']
Піккардійська Терція,Нове І Найкраще,22,,22 tracks,3,74,"['ukrainian', 'a cappella', 'folk', 'acapella', 'ukrainian', 'a cappella', 'folk']","['Старенький трамвай', 'Полудніца', 'Сумна я була', 'Ельдорадо', 'Весільний марш', 'Дороги', 'Спитай...', 'Кантрі', 'Загадкова', 'Сад ангельских пісень', 'Шізгара', 'Нехай і холод і вітри...', 'Моя Любов', 'Колискова для Аліси', 'Слова, слова, слова', 'Ти на Землі - Людина', 'Шаляла', 'Червоненький бурячок', 'Ти ніколи...', 'Капелюх', 'Усе тобі', 'Попурі №3']"
Піккардійська Терція,tercia pikardyiska,7,,23 December 2020,"1,179","4,953","['ukrainian', 'a cappella', 'folk', 'acapella', 'ukrainian', 'a cappella', 'folk']","['Старенький трамвай', 'Любов-це талісман', 'Там,де неба блакить', 'День Святого Валентина', 'Сумна я була', 'Гаю,гаю', 'Ой,слаба я']"
Піккардійська Терція,Ельдорадо,6,22:57,24 May 2020,"2,257","20,459","['folk', 'ukrainian', 'a cappella', 'folk']","['Загадкова', 'Дороги', 'Ти ніколи', 'Гей, пливе кача', 'Ельдорадо', 'Вперто іди']"
Піккардійська Терція,Ельдорадо - EP,6,22:57,1 January 2002,18,133,"['ukrainian', 'a cappella', 'folk', 'acapella', 'ukrainian', 'a cappella', 'folk']","['Загадкова', 'Дороги', 'Ти ніколи', 'Гей, пливе кача', 'Ельдорадо', 'Вперто іди']"
Піккардійська Терція,Я придумаю світ,8,,24 May 2020,940,"11,871","['positive', 'ukrainian', 'a cappella', 'folk', 'acapella', 'ukrainian', 'a cappella', 'folk']","['Я придумаю світ', 'Моя любов', 'Ой, ходять пави', 'Усе тобі', 'Містичний вальс', 'Спомин', 'Колискова для аліси', 'Я в чужині дивлюся на небо']"
Піккардійська Терція,Рок легенди України,16,59:43,2003,170,"4,088","['ukrainian', 'a cappella', 'folk', 'acapella', 'ukrainian', 'a cappella', 'folk']","['Старенький трамвай', 'Сумна я була', 'Пустельник. Кам’яна Елегія', 'Кантрі', 'Слова, слова, слова', 'Сад ангельских пісень', 'Нехай і холод і вітри...', 'Моя Любов', 'Шізгара', 'Колискова для Аліси', 'Усе тобі', 'Шаляла', 'Спитай...', 'Сядеш У Поїзд...', 'Весільний марш', 'Капелюх']"
Піккардійська Терція,Ювілей,20,,2012,5,85,"['ukrainian', 'a cappella', 'folk', 'acapella', 'ukrainian', 'a cappella', 'folk']","['Нехай', 'Коломбіна', 'Пустельник', 'Усе тобі', 'Берег Ріки', 'Сад Ангельських Пісень', 'Чорноморчик', 'Гей пливе кача', 'Очі Відьми', 'Ой летіли дикі гуси', 'Спомин', 'Колискова для Аліси', 'Старенький трамвай', 'Останній літній дощ', 'Львів', 'Людина', 'Відлуння твоїх кроків', 'Повір очам', 'Маланка (Live)', 'Граймо, стрибаймо']"
Піккардійська Терція,Етюди,3,10:07,24 May 2020,415,"10,913","['folk', 'ukrainian', 'a cappella', 'acapella', 'lviv', 'ukrainian', 'a cappella', 'folk']","['Останній літній дощ', 'Трамвайні етюди', 'Коломбіна']"
Піккардійська Терція,Етюди - Single,3,10:07,1 January 2009,1,1,"['ukrainian', 'a cappella', 'folk', 'acapella', 'ukrainian', 'a cappella', 'folk']","['Останній літній дощ', 'Трамвайні етюди', 'Коломбіна']"
Піккардійська Терція,Лети,6,,24 May 2020,239,663,"['ukrainian', 'a cappella', 'folk', 'acapella', 'lviv', 'ukrainian', 'a cappella', 'folk']","['Спогади про літо', 'Дженні', 'На вітер', 'Подай рученьку', 'Сади', 'Наша Маланка']"
BLOOMS CORDA,Fog Lavender [Explicit],8,,31 March 2020,20,37,"['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']","['Kolo', 'Mozhe', 'Plateau', 'Moya california', 'Sapphire', 'Vechirka Na Odnogo [Explicit]', 'Kodzuro', 'hto pryide']"
BLOOMS CORDA,Fog Lavender,8,30:46,28 October 2018,"3,837","34,793","['ukr', 'ukrainian', 'funk', 'lounge', 'ukraine', 'ukrainian', 'funk', 'lounge']","['Kolo', 'Mozhe', 'Plateau', 'Moya california', 'Sapphire', 'Vechirka na odnogo', 'Kodzuro', 'hto pryide']"
BLOOMS CORDA,Monodance,10,44:24,19 October 2015,"2,594","20,632","['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']","['epigraph', 'lyst do Kathrine', 'Dlya Polnogo Schastya', 'dyvo', 'Jack', 'tvaryna', 'moya kimnata', 'tattoo', 'iz azartom u ochah', 'asfaltove lito']"
BLOOMS CORDA,For Ukraine,,,,12,22,"['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']",[]
BLOOMS CORDA,Найдорожчі речі у світі,10,37:46,10 June 2022,"2,552","27,304","['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']","['Олмост йелоу', 'Робінзон криза', 'Київський вокзал', 'Тарханкут', 'Панічна контратака', 'Ран іі (найкращий друг)', 'Ода звичайному дню', 'Спірічуал', 'Повертаюсь до життя', 'Орфей']"
BLOOMS CORDA,Пісня про війну - Single,1,2:41,26 October 2023,8,15,"['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']",['Пісня про війну']
BLOOMS CORDA,"Дощ іде, але сонце світить",11,43:13,19 April 2024,"1,048","12,698","['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']","['Майбутнє', 'Король троянд', 'Пісня про війну', 'Слоу моушн', 'Все не ок, але я ок', 'Тато', 'Чарівний кларнет', 'Стамбул', 'Даня у клітці зі спогадами', 'Музей змарнілих ентузіазмів', 'О, мій світ']"
BLOOMS CORDA,Sottoportico,5,18:22,19 October 2020,866,"6,574","['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']","['Ідеальний Ранок', 'Форель', 'Нью-Йорк', 'Недобудови', 'Лу']"
BLOOMS CORDA,Sottoportico - EP,5,18:22,20 October 2020,17,86,"['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']","['Ідеальний Ранок', 'Форель', 'Нью-Йорк', 'Недобудови', 'Лу']"
BLOOMS CORDA,Даня у клітці зі спогадами,1,3:35,5 April 2024,232,679,"['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']",['Даня у клітці зі спогадами']
BLOOMS CORDA,Крісмас нуар,1,3:32,19 December 2024,262,468,"['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']",['Крісмас нуар']
BLOOMS CORDA,Крісмас нуар - Single,1,3:32,19 December 2024,1,1,"['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']",['Крісмас нуар']
BLOOMS CORDA,Gigotosia,10,41:44,19 October 2016,"1,381","17,234","['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']","['kudy vse pishlo', 'run', 'Tvoi glaza', 'Tetrisy iz fraz feat. Sophistication', 'Man', 'Syva boroda', 'U poshukah myloi lyudyny', 'Baron', 'Odnonichnyi roman', 'Tramvai']"
