Epoch	train_cost	val_cost	epoch_time	learing_rate
203	2.93303	4.36403	111.103s	0.0001
204	2.92	4.36096	110.845s	0.0001
205	2.90933	4.43718	110.479s	0.0001
206	2.89798	4.36226	111.355s	0.0001
207	2.90986	4.31138	110.995s	0.0001
208	2.87888	4.44794	111.39s	0.0001
209	2.88142	4.45548	112.075s	0.0001
210	2.86562	4.42468	111.395s	0.0001
211	2.85971	4.31942	113.285s	0.0001
212	2.84865	4.31436	112.542s	0.0001
213	2.87367	4.33647	112.666s	0.0001
214	2.84592	4.35265	111.925s	0.0001
215	2.81739	4.31357	111.836s	0.0001
216	2.82217	4.31582	111.876s	0.0001
217	2.79296	4.39737	111.648s	0.0001
218	2.79514	4.37943	112.584s	0.0001
219	2.801	4.28359	112.03s	0.0001
220	2.78569	4.33639	112.253s	0.0001
221	2.78531	4.28477	112.591s	0.0001
222	2.76135	4.43634	111.708s	0.0001
223	2.75507	4.33346	112.382s	0.0001
224	2.74943	4.22675	112.588s	0.0001
225	2.74651	4.20804	112.181s	0.0001
226	2.7402	4.46776	113.031s	0.0001
227	2.72842	4.32763	112.949s	0.0001
228	2.71725	4.15879	111.925s	0.0001
229	2.71125	4.23049	111.532s	0.0001
230	2.70909	4.33529	112.079s	0.0001
231	2.69613	4.30781	112.151s	0.0001
232	2.68895	4.30908	111.6s	0.0001
233	2.67789	4.29348	111.822s	0.0001
234	2.66307	4.31872	112.477s	0.0001
235	2.66814	4.24311	112.099s	0.0001
236	2.66098	4.20341	112.437s	0.0001
237	2.68346	4.34198	111.363s	0.0001
238	2.6403	4.26741	110.871s	0.0001
239	2.64523	4.24998	111.578s	0.0001
240	2.61968	4.21679	111.56s	0.0001
241	2.62043	4.27476	110.737s	0.0001
242	2.59451	4.25738	111.179s	0.0001
243	2.59429	4.30655	113.23s	0.0001
244	2.59645	4.30652	111.523s	0.0001
245	2.59414	4.15947	111.385s	0.0001
246	2.56239	4.39894	112.312s	0.0001
247	2.57171	4.3015	111.2s	0.0001
248	2.56526	4.22115	112.632s	0.0001
249	2.55099	4.32447	113.193s	0.0001
250	2.5433	4.15358	111.999s	0.0001
251	2.52734	4.27553	113.562s	0.0001
252	2.52603	4.36131	111.936s	0.0001
253	2.51317	4.32547	111.744s	0.0001
254	2.51383	4.19748	111.971s	0.0001
255	2.5008	4.28792	112.8s	0.0001
256	2.48704	4.30817	113.852s	0.0001
257	2.4962	4.34865	111.825s	0.0001
258	2.5264	4.1417	112.7s	0.0001
259	2.4765	4.27445	114.375s	0.0001
260	2.45659	4.26918	112.416s	0.0001
261	2.44625	4.29476	112.788s	0.0001
262	2.44815	4.19234	112.547s	0.0001
263	2.43834	4.25475	113.356s	0.0001
264	2.43609	4.24932	112.379s	0.0001
265	2.42663	4.26095	112.668s	0.0001
266	2.42354	4.19589	112.274s	0.0001
267	2.42897	4.2201	112.127s	0.0001
268	2.39979	4.1902	112.373s	0.0001
269	2.38841	4.12009	112.803s	0.0001
270	2.39904	4.24733	114.036s	0.0001
271	2.37371	4.26249	112.427s	0.0001
272	2.39455	4.10787	114.1s	0.0001
273	2.40111	4.08892	112.624s	0.0001
274	2.38417	4.17491	111.397s	0.0001
275	2.34704	4.20463	111.326s	0.0001
276	2.34196	4.10414	111.322s	0.0001
277	2.34205	4.14076	111.709s	0.0001
278	2.32144	4.23101	110.873s	0.0001
279	2.33999	4.12544	111.128s	0.0001
280	2.44856	4.18702	111.359s	0.0001
281	2.32976	4.13497	113.823s	0.0001
282	2.31049	4.09827	111.318s	0.0001
283	2.29121	4.25277	115.062s	0.0001
284	2.28029	4.21293	113.794s	0.0001
285	2.28532	4.12764	111.382s	0.0001
286	2.27208	4.10071	114.504s	0.0001
287	2.26237	4.24494	112.685s	0.0001
288	2.25914	4.21918	114.376s	0.0001
289	2.2616	4.16242	111.077s	0.0001
290	2.24255	4.21223	112.784s	0.0001
291	2.23682	4.10417	113.5s	0.0001
292	2.24974	4.05997	111.851s	0.0001
293	2.22108	4.0682	112.919s	0.0001
294	2.20767	4.13211	112.684s	0.0001
295	2.20098	4.19659	112.169s	0.0001
296	2.19329	4.11229	114.398s	0.0001
297	2.19513	4.19696	112.897s	0.0001
298	2.19743	4.16364	112.09s	0.0001
299	2.2031	4.12283	111.746s	0.0001
300	2.1741	4.13614	112.046s	0.0001
301	2.16608	4.10278	112.034s	0.0001
302	2.15493	4.21308	112.475s	0.0001
303	2.18152	4.13654	111.441s	0.0001
304	2.14642	4.03964	111.197s	0.0001
305	2.14054	4.07425	112.803s	0.0001
306	2.12376	4.08876	111.286s	0.0001
307	2.11904	4.09976	110.849s	0.0001
308	2.13019	4.25705	111.156s	0.0001
309	2.12347	4.15397	110.71s	0.0001
310	2.12593	4.12434	110.686s	0.0001
311	2.10328	4.03039	111.442s	0.0001
312	2.27727	4.18681	111.333s	0.0001
313	2.12494	4.06666	111.424s	0.0001
314	2.10467	4.01631	110.836s	0.0001
315	2.08198	4.07749	110.875s	0.0001
316	2.0596	4.09758	110.805s	0.0001
317	2.05205	4.07681	110.904s	0.0001
318	2.06348	4.15792	112.415s	0.0001
319	2.06699	4.07095	111.464s	0.0001
320	2.03625	4.0785	111.116s	0.0001
321	2.01578	4.02082	111.112s	0.0001
322	2.02282	4.07682	110.787s	0.0001
323	2.02558	4.04506	110.92s	0.0001
324	2.00501	4.01461	111.284s	0.0001
325	2.04248	4.10064	130.929s	0.0001
326	1.9974	4.06049	115.329s	0.0001
327	2.00772	4.05117	111.074s	0.0001
328	1.99108	4.19019	111.13s	0.0001
329	1.99189	4.04746	111.061s	0.0001
330	1.98578	4.03893	111.094s	0.0001
331	1.97358	4.1719	111.091s	0.0001
332	1.9703	4.11636	115.469s	0.0001
333	1.96109	4.08264	112.589s	0.0001
334	1.97337	4.05038	111.883s	0.0001
335	1.94154	4.0133	111.304s	0.0001
336	1.94072	4.04053	114.181s	0.0001
337	1.94099	4.19647	114.916s	0.0001
338	1.93273	4.08304	112.665s	0.0001
339	1.9188	4.08304	112.755s	0.0001
340	1.91514	3.98731	112.533s	0.0001
341	1.91247	4.23857	112.235s	0.0001
342	1.90668	4.06339	110.907s	0.0001
343	1.90557	4.19573	111.924s	0.0001
344	1.95692	4.14255	111.564s	0.0001
345	1.89095	4.05176	112.765s	0.0001
346	1.88773	4.10231	110.874s	0.0001
347	1.8652	4.04498	110.954s	0.0001
348	1.85754	4.05762	110.911s	0.0001
349	1.85447	4.00586	111.205s	0.0001
350	1.83078	4.07652	111.731s	0.0001
351	1.83947	4.11193	112.74s	0.0001
352	1.84152	4.09582	111.937s	0.0001
353	1.82347	4.1898	112.806s	0.0001
354	1.83506	4.16697	111.755s	0.0001
355	1.85034	4.12659	111.378s	0.0001
356	1.81288	3.98608	111.772s	0.0001
357	1.81485	3.99575	113.044s	0.0001
358	1.79649	4.09314	110.854s	0.0001
359	1.79116	3.94223	111.219s	0.0001
360	1.79469	4.22522	112.539s	0.0001
361	1.77387	4.03123	113.181s	0.0001
362	1.77334	4.08215	113.265s	0.0001
363	1.78044	4.13024	111.042s	0.0001
364	1.76283	4.06917	111.506s	0.0001
365	1.76519	4.02455	111.145s	0.0001
366	1.78842	4.1536	110.892s	0.0001
367	1.78455	4.02366	110.657s	0.0001
368	1.741	4.08233	111.117s	0.0001
369	1.7364	4.01827	110.68s	0.0001
370	1.73008	4.04501	111.215s	0.0001
371	1.71589	3.89881	111.673s	0.0001
372	1.73583	4.02985	111.876s	0.0001
373	1.71279	4.02175	111.395s	0.0001
374	1.72199	3.95907	111.967s	0.0001
375	1.75888	4.12642	110.948s	0.0001
376	1.70976	4.1238	111.049s	0.0001
377	1.69031	3.96171	110.982s	0.0001
378	1.67623	4.08385	111.344s	0.0001
379	1.6821	4.15913	111.556s	0.0001
380	1.6737	4.13788	110.821s	0.0001
381	1.67307	3.98601	111.14s	0.0001
382	1.6681	4.07066	111.383s	0.0001
383	1.64934	3.9473	111.217s	0.0001
384	1.64631	4.09349	111.092s	0.0001
385	1.64482	4.22899	111.001s	0.0001
386	1.63953	4.03715	110.671s	0.0001
387	1.63698	4.0934	110.743s	0.0001
388	1.64547	4.11428	111.271s	0.0001
389	1.62858	4.06843	111.133s	0.0001
390	1.65367	4.11424	110.898s	0.0001
391	1.61279	4.00743	112.029s	0.0001
392	1.60349	4.13982	112.491s	0.0001
393	1.5992	3.964	111.517s	0.0001
394	1.58344	4.0041	110.828s	0.0001
395	1.62468	3.94189	110.78s	0.0001
396	1.6061	3.95848	110.87s	0.0001
397	1.57784	4.11401	113.1s	0.0001
398	1.61723	4.13758	111.162s	0.0001
399	1.58682	4.01343	110.865s	0.0001
400	1.57343	4.08682	111.643s	0.0001
401	1.54765	4.02647	111.884s	0.0001
402	1.55635	4.02208	112.918s	0.0001
403	1.53935	3.93024	112.054s	0.0001
404	1.55028	3.98673	112.081s	0.0001
405	1.53898	4.04747	111.688s	0.0001
406	1.54538	3.97169	112.964s	0.0001
407	1.52645	4.03927	111.4s	0.0001
408	1.51349	3.94497	111.394s	0.0001
409	1.50751	3.998	111.467s	0.0001
410	1.52054	3.96214	110.914s	0.0001
411	1.50847	4.02821	110.689s	0.0001
412	1.50507	4.04563	111.189s	0.0001
413	1.509	4.03412	111.145s	0.0001
414	1.48774	4.00902	110.614s	0.0001
415	1.48953	4.06648	110.518s	0.0001
416	1.48161	4.00205	110.96s	0.0001
