Epoch	train_cost	val_cost	epoch_time	learing_rate
221	0.133169	0.125718	106.504s	5e-06
222	0.133638	0.125353	106.136s	5e-06
223	0.133281	0.126175	106.022s	5e-06
224	0.13075	0.130426	106.459s	5e-06
225	0.131859	0.128749	106.22s	5e-06
226	0.131272	0.125561	106.657s	5e-06
227	0.131776	0.12548	106.759s	5e-06
228	0.132359	0.127116	106.135s	5e-06
229	0.130849	0.125751	106.156s	5e-06
230	0.131084	0.126579	106.454s	5e-06
231	0.131023	0.127335	106.453s	5e-06
232	0.131132	0.128308	106.226s	5e-06
233	0.130204	0.127313	106.344s	5e-06
234	0.131139	0.126735	106.08s	5e-06
235	0.130933	0.125234	106.457s	5e-06
236	0.12985	0.126929	106.744s	5e-06
237	0.130086	0.12517	106.757s	5e-06
238	0.129999	0.125688	106.107s	5e-06
239	0.132131	0.12364	106.481s	5e-06
240	0.130497	0.124401	106.537s	5e-06
241	0.129887	0.130766	106.064s	5e-06
242	0.130231	0.126678	106.401s	5e-06
243	0.129192	0.125219	106.484s	5e-06
244	0.129876	0.127407	106.382s	5e-06
245	0.128419	0.126972	106.601s	5e-06
246	0.12896	0.123355	106.535s	5e-06
247	0.128702	0.125948	106.508s	5e-06
248	0.12738	0.124909	106.532s	5e-06
249	0.128361	0.126642	106.425s	5e-06
250	0.129113	0.129696	106.211s	5e-06
251	0.128448	0.128087	106.407s	5e-06
252	0.127893	0.126728	106.363s	5e-06
253	0.128676	0.126535	106.264s	5e-06
254	0.128846	0.123986	106.341s	5e-06
255	0.128501	0.122567	106.634s	5e-06
256	0.128345	0.12513	106.216s	5e-06
257	0.127305	0.127821	106.303s	5e-06
258	0.128428	0.124544	105.915s	5e-06
259	0.127097	0.138089	106.203s	5e-06
260	0.127398	0.127906	106.14s	5e-06
261	0.127023	0.126108	106.592s	5e-06
262	0.127535	0.124662	106.239s	5e-06
263	0.127892	0.127083	106.195s	5e-06
264	0.126579	0.124014	106.135s	5e-06
265	0.127354	0.122625	106.468s	5e-06
266	0.12825	0.128256	106.376s	5e-06
267	0.126001	0.124142	107.363s	5e-06
268	0.127389	0.124437	106.29s	5e-06
269	0.127205	0.127663	106.398s	5e-06
270	0.125776	0.124576	106.559s	5e-06
271	0.126182	0.123903	106.221s	5e-06
272	0.125129	0.127151	106.286s	5e-06
273	0.126411	0.122094	106.939s	2.5e-06
274	0.126694	0.124897	106.188s	2.5e-06
275	0.123973	0.122471	106.394s	2.5e-06
276	0.123957	0.123963	106.396s	2.5e-06
277	0.124474	0.122874	106.269s	2.5e-06
278	0.125195	0.121961	106.54s	2.5e-06
279	0.123678	0.122216	106.332s	2.5e-06
280	0.125049	0.121439	106.201s	2.5e-06
281	0.124442	0.126616	106.317s	2.5e-06
282	0.123505	0.122741	106.349s	2.5e-06
283	0.124241	0.125355	106.039s	2.5e-06
284	0.124096	0.124226	106.202s	2.5e-06
285	0.123653	0.122081	106.497s	2.5e-06
