title,artist,albums,albums_filtered,main_album
Кораблі,The Hardkiss,"['Кораблі', 'Залізна ластівка']",['Залізна ластівка'],Залізна ластівка
Rain,The Hardkiss,"['Perfection Is a Lie', 'Rain']",['Perfection Is a Lie'],Perfection Is a Lie
Коханці,The Hardkiss,"['the best', 'Залізна ластівка']",['Залізна ластівка'],Залізна ластівка
Shadows of Time,The Hardkiss,"['Stones and Honey', 'Shadows of Time']",['Stones and Honey'],Stones and Honey
Прірва,The Hardkiss,"['Stones and Honey', 'the best']",['Stones and Honey'],Stones and Honey
October,The Hardkiss,['Stones and Honey'],['Stones and Honey'],Stones and Honey
Гора,The Hardkiss,"['the best', 'Жива і не залізна']",['Жива і не залізна'],Жива і не залізна
"TONY, TALK!",The Hardkiss,"['Cold Altair', 'Perfection Is a Lie']","['Cold Altair', 'Perfection Is a Lie']",Cold Altair
Жива,The Hardkiss,"['Жива і не залізна', 'Жива']",['Жива і не залізна'],Жива і не залізна
Babylon,The Hardkiss,"['Stones and Honey', 'THE HARDKISS']","['Stones and Honey', 'THE HARDKISS']",Stones and Honey
Dance With Me,The Hardkiss,"['Stones and Honey', 'THE HARDKISS']","['Stones and Honey', 'THE HARDKISS']",Stones and Honey
Маяк,The Hardkiss,"['Маяк - Single', 'Маяк']",['Маяк - Single'],Other
Hurricane,The Hardkiss,"['Stones and Honey', 'Hurricane']",['Stones and Honey'],Stones and Honey
Мелодія,The Hardkiss,[],[],Other
Антарктида,The Hardkiss,"['Perfection Is a Lie', 'Антарктида']",['Perfection Is a Lie'],Perfection Is a Lie
7 вітрів,The Hardkiss,"['7 вітрів', 'Жива і не залізна']","['7 вітрів', 'Жива і не залізна']",Жива і не залізна
Як ти?,The Hardkiss,"['Як ти? - Single', 'Як ти?']",[],Other
Все було так,The Hardkiss,"['the best', 'Жива і не залізна']",['Жива і не залізна'],Жива і не залізна
UNDER THE SUN,The Hardkiss,['Stones and Honey'],['Stones and Honey'],Stones and Honey
Сестра,The Hardkiss,"['Сестра (Raft Tone Remix) - Single', 'Жива і не залізна']","['Жива і не залізна', 'Сестра (Raft Tone Remix) - Single']",Жива і не залізна
Part of Me,The Hardkiss,"['Stones and Honey', 'Part of Me']",['Stones and Honey'],Stones and Honey
Strange Moves,The Hardkiss,"['Stones and Honey', 'Strange Moves (feat. Kazaky)']",['Stones and Honey'],Stones and Honey
IN LOVE,The Hardkiss,['Stones and Honey'],['Stones and Honey'],Stones and Honey
Free Me,The Hardkiss,"['Free Me - Single', 'Залізна ластівка']",['Залізна ластівка'],Залізна ластівка
